match_id,radiant_win,radiant_team,dire_team,avg_mmr,num_mmr,game_mode,lobby_type
6536981519,True,"2,54,128,27,101","75,87,59,23,94",1352.0,1.0,22,7
6536981517,False,"35,23,44,129,62","123,15,19,69,101",1565.0,3.0,3,7
6536981511,False,"109,47,45,104,129","94,23,123,121,84",,,22,0
6536981509,False,"105,97,54,58,17","44,107,120,62,86",,,22,0
6536981508,True,"41,99,14,71,74","53,40,112,9,46",,,22,0
6536981507,True,"27,1,18,50,22","99,26,32,66,8",,,22,7
6536981504,True,"35,43,65,100,90","14,54,128,36,27",4550.0,4.0,22,7
6536981503,False,"128,19,79,1,78","86,137,76,6,30",2994.0,2.0,22,0
6536981502,False,"3,38,135,42,4","31,101,16,114,25",4172.0,1.0,22,7
6536981501,True,"105,48,83,11,14","44,121,39,54,64",,,22,0
6536981414,False,"73,36,129,93,26","12,27,19,126,76",2461.0,2.0,22,7
6536981405,True,"42,99,78,68,90","43,107,26,35,54",4303.0,1.0,22,0
6536981403,True,"19,6,96,137,22","30,121,29,120,67",2916.0,4.0,3,7
6536981402,False,"93,36,26,76,85","80,2,27,75,54",3990.0,1.0,22,7
6536981401,True,"36,39,27,8,104","29,30,6,9,46",1568.0,1.0,22,7
6536981318,True,"17,114,50,84,44","1,83,71,7,11",2310.0,1.0,22,7
6536981317,False,"121,72,60,36,45","7,15,123,46,5",3071.0,2.0,22,7
6536981315,False,"10,29,45,15,74","22,120,68,12,5",2700.0,3.0,22,7
6536981309,True,"13,6,58,20,14","120,123,68,93,129",3149.0,2.0,22,0
6536981308,False,"137,63,5,35,90","47,62,20,95,86",3598.0,4.0,22,0
6536981302,True,"67,25,90,40,1","8,104,101,27,11",4410.0,2.0,22,7
6536981301,False,"41,4,45,30,136","64,9,129,54,48",,,22,7
6536981300,False,"106,91,19,62,44","90,54,20,82,79",3882.0,1.0,22,7
6536981217,False,"43,12,87,46,40","81,84,94,5,135",3119.0,2.0,22,7
6536981216,False,"35,71,36,84,81","86,59,98,94,45",4044.0,6.0,22,7
6536981215,True,"47,14,27,6,104","5,86,1,120,11",3906.0,1.0,3,0
6536981214,False,"16,9,8,74,26","86,59,19,17,102",3688.0,1.0,22,7
6536981209,True,"76,100,25,63,54","126,8,26,28,84",,,22,7
6536981206,False,"27,94,65,43,74","11,14,21,121,44",3511.0,2.0,22,7
6536981203,False,"21,63,34,9,8","1,2,25,76,36",,,22,7
6536981114,True,"40,93,84,94,19","13,20,89,108,26",,,22,7
6536981113,False,"68,41,85,77,96","45,22,71,28,99",,,22,0
6536981110,True,"14,137,16,35,84","85,19,63,11,107",2712.0,2.0,22,7
6536981109,False,"22,9,93,104,111","15,21,99,41,84",2866.0,2.0,3,7
6536981104,False,"45,72,98,20,14","97,11,126,73,40",,,22,0
6536981102,True,"17,36,40,26,67","93,21,97,25,23",2507.0,3.0,22,7
6536981101,False,"106,98,63,79,93","84,8,13,40,47",3480.0,1.0,22,7
6536981100,True,"82,39,81,100,120","94,45,72,32,19",3476.0,2.0,22,7
6536981019,False,"35,13,2,101,107","11,83,16,1,19",2890.0,1.0,22,7
6536981012,True,"97,126,84,93,128","2,31,8,74,85",,,22,7
6536981011,True,"84,21,81,90,8","126,49,19,33,35",2443.0,2.0,22,7
6536981009,False,"11,63,44,110,102","88,1,126,101,27",,,22,7
6536981007,False,"21,78,37,74,8","5,101,22,99,41",3482.0,3.0,3,7
6536981006,False,"75,20,47,137,6","26,8,59,97,5",2480.0,2.0,22,7
6536980918,False,"19,23,1,114,3","21,5,104,59,56",2621.0,2.0,22,0
6536980913,False,"94,72,62,5,73","35,136,85,74,51",1579.0,1.0,22,7
6536980912,False,"97,44,126,25,111","108,14,93,35,5",,,22,7
6536980911,False,"9,23,126,6,26","17,45,43,32,49",2574.0,3.0,22,7
6536980909,False,"89,114,23,35,100","36,30,51,97,8",2693.0,2.0,22,7
6536980902,False,"15,39,30,137,43","16,106,100,54,101",3570.0,2.0,3,7
6536980901,False,"8,79,110,20,97","41,93,126,90,64",,,22,7
6536980900,False,"104,44,53,35,135","62,8,26,51,1",967.0,1.0,22,7
6536980814,False,"10,21,19,91,38","11,14,74,17,59",2402.0,3.0,22,7
6536980813,False,"75,14,47,49,67","62,44,108,50,43",,,22,7
6536980809,False,"19,71,60,64,11","51,14,94,87,36",2838.0,2.0,22,7
6536980808,True,"49,46,50,137,25","54,85,31,82,2",2767.0,2.0,22,7
6536980806,True,"94,85,104,23,35","91,16,101,12,84",2404.0,3.0,22,7
6536980804,True,"96,114,136,137,39","54,100,35,98,14",3936.0,1.0,22,7
6536980717,False,"75,87,82,109,99","89,32,19,2,101",2378.0,5.0,22,7
6536980716,False,"59,101,27,43,100","84,14,137,25,1",5341.0,3.0,22,7
6536980715,False,"99,64,11,8,23","29,35,84,93,27",1928.0,3.0,22,7
6536980709,False,"86,104,25,59,38","102,103,48,87,76",3812.0,1.0,22,7
6536980708,False,"41,13,137,14,22","94,64,62,8,7",3651.0,7.0,22,7
6536980707,False,"93,68,114,74,49","129,8,13,32,40",,,22,7
6536980706,False,"74,64,93,14,20","70,17,90,129,85",3628.0,1.0,22,7
6536980619,False,"2,136,128,84,48","94,126,26,85,54",3287.0,3.0,22,7
6536980613,False,"56,105,35,39,74","1,3,10,99,62",2938.0,2.0,22,7
6536980612,False,"128,16,114,21,86","8,92,87,19,6",,,22,0
6536980603,True,"36,8,37,74,14","70,58,43,16,35",4134.0,4.0,22,7
6536980601,False,"2,39,12,74,7","63,126,67,27,52",3573.0,1.0,22,0
6536980517,False,"104,106,2,67,68","26,47,98,76,8",2565.0,1.0,22,0
6536980516,False,"98,8,14,22,63","10,46,36,48,64",1236.0,1.0,22,0
6536980515,True,"84,98,54,23,104","28,21,9,81,27",,,22,7
6536980505,False,"8,75,28,137,21","85,101,15,95,2",,,22,0
6536980504,False,"108,27,94,74,105","76,44,28,64,100",,,22,0
6536980503,True,"136,97,41,34,63","85,72,73,16,23",3250.0,2.0,22,7
6536980502,True,"49,91,35,19,76","31,108,82,105,59",3242.0,2.0,22,7
6536980418,False,"59,48,6,47,15","4,128,123,27,70",,,4,0
6536980417,True,"36,71,45,136,11","5,2,86,35,19",2467.0,4.0,22,7
6536980407,True,"104,70,33,126,84","41,57,23,85,35",,,22,7
6536980406,True,"40,128,56,90,96","102,110,26,104,35",4925.0,5.0,3,7
6536980405,False,"111,14,49,2,44","123,30,129,1,36",,,22,7
6536980315,False,"8,10,80,35,81","59,14,83,109,126",1081.0,1.0,4,0
6536980314,False,"7,81,128,44,47","90,99,76,84,58",,,22,7
6536980313,True,"20,96,41,101,84","54,59,27,114,40",2272.0,3.0,22,7
6536980311,True,"47,14,53,89,84","48,114,94,42,50",1895.0,1.0,22,7
6536980207,False,"14,76,68,2,84","8,123,59,36,30",,,22,7
6536980204,True,"27,99,53,68,12","26,94,64,6,54",2081.0,1.0,22,7
6536980203,True,"75,93,88,137,52","35,120,23,5,123",3892.0,1.0,22,7
6536980113,True,"84,44,40,78,75","96,19,35,25,27",,,22,7
6536980111,False,"14,4,26,67,27","42,44,84,59,85",,,22,7
6536980107,True,"65,98,97,63,70","50,96,19,32,51",3510.0,4.0,4,0
6536980100,True,"84,48,121,17,75","27,74,54,100,113",3372.0,2.0,22,7
6536980012,True,"16,56,44,76,121","11,63,37,64,84",,,22,0
6536980011,False,"2,30,128,41,11","84,17,45,120,44",3127.0,3.0,22,0
6536980006,True,"34,84,82,47,136","76,59,41,35,6",,,22,0
6536980005,True,"25,19,91,58,137","51,8,60,36,22",4665.0,4.0,22,7
6536980004,True,"22,21,16,42,84","64,99,14,17,44",,,22,7
6536979911,False,"92,96,8,17,121","26,87,35,42,14",3417.0,1.0,22,7
6536979910,False,"44,123,50,58,137","20,83,35,67,59",1726.0,1.0,22,7
6536979906,False,"35,64,128,81,15","36,84,106,45,67",2833.0,2.0,2,1
6536979905,True,"70,43,50,123,129","12,99,14,128,35",,,22,7
6536979904,True,"20,35,7,74,63","88,19,27,47,98",2597.0,3.0,4,0
6536979903,True,"17,8,85,86,26","14,96,12,106,83",,,22,7
6536979815,False,"65,71,26,114,100","119,128,27,39,1",,,22,7
6536979811,False,"21,16,40,94,99","64,84,95,104,44",3772.0,1.0,22,7
6536979806,True,"8,43,72,53,14","50,21,69,19,30",3922.0,2.0,22,7
6536979805,True,"88,36,32,19,6","76,8,51,26,104",,,3,7
6536979804,False,"26,36,19,39,87","106,100,60,90,14",3536.0,2.0,22,0
6536979803,False,"86,137,64,3,52","84,44,102,63,82",3594.0,5.0,22,7
6536979802,True,"45,15,8,33,5","75,70,39,7,99",3129.0,4.0,22,7
6536979801,False,"63,32,128,34,60","48,99,136,101,17",3131.0,2.0,22,0
6536979716,True,"37,31,75,19,14","108,26,106,53,109",1474.0,1.0,22,7
6536979714,True,"37,62,93,120,59","2,1,64,63,39",2472.0,4.0,22,7
6536979713,True,"74,55,3,80,84","76,129,75,73,72",,,22,7
6536979705,True,"13,120,88,31,95","136,47,128,58,19",4461.0,7.0,3,7
6536979704,True,"39,8,36,2,3","27,42,17,85,45",4126.0,1.0,22,7
6536979703,False,"92,32,30,137,86","64,2,45,6,4",,,22,7
6536979619,False,"54,63,94,26,3","55,101,129,19,61",3465.0,2.0,22,7
6536979613,True,"16,75,54,27,17","126,63,8,59,35",3205.0,3.0,22,7
6536979612,False,"68,102,67,17,112","54,14,45,39,72",3246.0,3.0,22,0
6536979611,False,"86,84,30,35,7","10,31,121,137,90",2361.0,1.0,22,7
6536979610,True,"21,74,40,27,93","64,108,75,12,14",1922.0,2.0,22,7
6536979609,False,"14,68,25,7,27","26,9,34,104,62",,,22,0
6536979606,True,"93,86,129,25,68","63,27,85,47,32",2574.0,2.0,4,0
6536979605,False,"8,68,104,35,50","41,101,42,30,15",,,22,7
6536979519,False,"85,9,42,27,35","137,108,62,54,126",3629.0,1.0,22,7
6536979518,False,"1,60,9,35,64","90,84,86,36,19",2730.0,3.0,22,0
6536979514,True,"42,129,84,71,75","23,14,74,37,48",3195.0,4.0,22,7
6536979507,False,"30,56,47,74,32","104,62,76,45,99",,,22,0
6536979504,True,"14,104,30,26,70","16,29,71,27,44",,,22,7
6536979503,True,"114,21,111,81,74","9,39,36,33,4",,,22,7
6536979501,False,"95,21,66,8,102","64,11,84,6,2",2718.0,2.0,22,7
6536979411,True,"106,36,21,93,123","11,31,47,104,14",,,22,7
6536979400,True,"101,12,9,2,111","104,70,114,75,39",1762.0,1.0,22,7
6536979316,False,"25,88,36,50,114","8,26,2,74,39",1698.0,1.0,22,7
6536979305,False,"64,9,113,128,8","137,107,43,94,79",4064.0,3.0,22,7
6536979304,False,"21,99,68,84,41","75,137,49,58,47",,,22,7
6536979302,True,"46,14,63,11,121","87,23,27,109,129",3011.0,1.0,22,7
6536979301,False,"9,1,49,83,59","114,101,128,43,104",5968.0,1.0,22,7
6536979300,True,"81,7,87,126,94","71,75,29,74,42",2805.0,3.0,3,7
6536979219,True,"84,35,47,6,129","135,32,62,85,27",3538.0,3.0,22,7
6536979210,True,"111,12,6,31,60","33,100,74,45,1",2636.0,2.0,22,7
